NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
ANTIGEN PROCESSING-CROSS PRESENTATION%REACTOME DATABASE ID RELEASE 83%1236975	ANTIGEN PROCESSING-CROSS PRESENTATION%REACTOME DATABASE ID RELEASE 83%1236975	Details ...	77	0.72391325	1.9929328	0.0	4.5826042E-4	0.005	2297	tags=52%, list=18%, signal=63%	
SCF-BETA-TRCP MEDIATED DEGRADATION OF EMI1%REACTOME DATABASE ID RELEASE 83%174113	SCF-BETA-TRCP MEDIATED DEGRADATION OF EMI1%REACTOME DATABASE ID RELEASE 83%174113	Details ...	49	0.76111865	1.9917299	0.0	4.2770975E-4	0.005	2123	tags=67%, list=16%, signal=80%	
REGULATION OF ORNITHINE DECARBOXYLASE (ODC)%REACTOME DATABASE ID RELEASE 83%350562	REGULATION OF ORNITHINE DECARBOXYLASE (ODC)%REACTOME DATABASE ID RELEASE 83%350562	Details ...	46	0.78710365	1.9903237	0.0	4.0097788E-4	0.005	2123	tags=72%, list=16%, signal=86%	
NIK-->NONCANONICAL NF-KB SIGNALING%REACTOME%R-HSA-5676590.1	NIK-->NONCANONICAL NF-KB SIGNALING%REACTOME%R-HSA-5676590.1	Details ...	53	0.758499	1.989598	0.0	3.7739094E-4	0.005	2123	tags=64%, list=16%, signal=76%	
HH MUTANTS ARE DEGRADED BY ERAD%REACTOME DATABASE ID RELEASE 83%5362768	HH MUTANTS ARE DEGRADED BY ERAD%REACTOME DATABASE ID RELEASE 83%5362768	Details ...	51	0.75724715	1.9869292	0.0	4.2716818E-4	0.006	2123	tags=63%, list=16%, signal=75%	
AUF1 (HNRNP D0) BINDS AND DESTABILIZES MRNA%REACTOME%R-HSA-450408.3	AUF1 (HNRNP D0) BINDS AND DESTABILIZES MRNA%REACTOME%R-HSA-450408.3	Details ...	49	0.7631288	1.9812198	0.0	4.0468565E-4	0.006	2264	tags=71%, list=18%, signal=86%	
THE ROLE OF GTSE1 IN G2 M PROGRESSION AFTER G2 CHECKPOINT%REACTOME DATABASE ID RELEASE 83%8852276	THE ROLE OF GTSE1 IN G2 M PROGRESSION AFTER G2 CHECKPOINT%REACTOME DATABASE ID RELEASE 83%8852276	Details ...	54	0.76263916	1.9799865	0.0	3.8445136E-4	0.006	2264	tags=69%, list=18%, signal=83%	
ACTIN FILAMENT ORGANIZATION%GOBP%GO:0007015	ACTIN FILAMENT ORGANIZATION%GOBP%GO:0007015		149	0.65291876	1.9797839	0.0	3.6614414E-4	0.006	1085	tags=32%, list=8%, signal=34%	
HH MUTANTS ABROGATE LIGAND SECRETION%REACTOME DATABASE ID RELEASE 83%5387390	HH MUTANTS ABROGATE LIGAND SECRETION%REACTOME DATABASE ID RELEASE 83%5387390		52	0.7563721	1.9786181	0.0	3.4950124E-4	0.006	2123	tags=62%, list=16%, signal=73%	
ACTIVATION OF NF-KAPPAB IN B CELLS%REACTOME DATABASE ID RELEASE 83%1169091	ACTIVATION OF NF-KAPPAB IN B CELLS%REACTOME DATABASE ID RELEASE 83%1169091		60	0.7364273	1.974277	0.0	3.8933652E-4	0.007	2123	tags=58%, list=16%, signal=69%	
G2 M TRANSITION%REACTOME%R-HSA-69275.5	G2 M TRANSITION%REACTOME%R-HSA-69275.5		166	0.63270086	1.9693706	0.0	4.2647487E-4	0.008	2044	tags=40%, list=16%, signal=47%	
INTEGRIN SIGNALLING PATHWAY%PANTHER PATHWAY%P00034	INTEGRIN SIGNALLING PATHWAY%PANTHER PATHWAY%P00034		130	0.6695172	1.968821	0.0	4.6050586E-4	0.009	1628	tags=35%, list=13%, signal=40%	
DEGRADATION OF GLI2 BY THE PROTEASOME%REACTOME DATABASE ID RELEASE 83%5610783	DEGRADATION OF GLI2 BY THE PROTEASOME%REACTOME DATABASE ID RELEASE 83%5610783		55	0.7594083	1.9680805	0.0	4.427941E-4	0.009	2292	tags=67%, list=18%, signal=81%	
E-CADHERIN SIGNALING IN THE NASCENT ADHERENS JUNCTION%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%E-CADHERIN SIGNALING IN THE NASCENT ADHERENS JUNCTION	E-CADHERIN SIGNALING IN THE NASCENT ADHERENS JUNCTION%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%E-CADHERIN SIGNALING IN THE NASCENT ADHERENS JUNCTION		32	0.800081	1.967442	0.0	4.2639428E-4	0.009	1423	tags=41%, list=11%, signal=46%	
DEGRADATION OF DVL%REACTOME DATABASE ID RELEASE 83%4641258	DEGRADATION OF DVL%REACTOME DATABASE ID RELEASE 83%4641258		52	0.74933994	1.9666741	0.0	4.111659E-4	0.009	2123	tags=63%, list=16%, signal=76%	
NEGATIVE REGULATION OF NOTCH4 SIGNALING%REACTOME DATABASE ID RELEASE 83%9604323	NEGATIVE REGULATION OF NOTCH4 SIGNALING%REACTOME DATABASE ID RELEASE 83%9604323		49	0.77117187	1.9641789	0.0	4.416759E-4	0.01	1829	tags=63%, list=14%, signal=73%	
CROSS-PRESENTATION OF SOLUBLE EXOGENOUS ANTIGENS (ENDOSOMES)%REACTOME DATABASE ID RELEASE 83%1236978	CROSS-PRESENTATION OF SOLUBLE EXOGENOUS ANTIGENS (ENDOSOMES)%REACTOME DATABASE ID RELEASE 83%1236978		41	0.7889476	1.9606111	0.0	5.111451E-4	0.012	2123	tags=73%, list=16%, signal=87%	
VPU MEDIATED DEGRADATION OF CD4%REACTOME%R-HSA-180534.1	VPU MEDIATED DEGRADATION OF CD4%REACTOME%R-HSA-180534.1		47	0.76491755	1.9605619	0.0	4.946565E-4	0.012	2123	tags=70%, list=16%, signal=84%	
FBXL7 DOWN-REGULATES AURKA DURING MITOTIC ENTRY AND IN EARLY MITOSIS%REACTOME DATABASE ID RELEASE 83%8854050	FBXL7 DOWN-REGULATES AURKA DURING MITOTIC ENTRY AND IN EARLY MITOSIS%REACTOME DATABASE ID RELEASE 83%8854050		51	0.75656044	1.959187	0.0	4.791985E-4	0.012	2123	tags=65%, list=16%, signal=77%	
UBIQUITIN MEDIATED DEGRADATION OF PHOSPHORYLATED CDC25A%REACTOME DATABASE ID RELEASE 83%69601	UBIQUITIN MEDIATED DEGRADATION OF PHOSPHORYLATED CDC25A%REACTOME DATABASE ID RELEASE 83%69601		47	0.7571796	1.955834	0.0	5.427242E-4	0.014	2123	tags=68%, list=16%, signal=81%	
P53-INDEPENDENT DNA DAMAGE RESPONSE%REACTOME DATABASE ID RELEASE 83%69610	P53-INDEPENDENT DNA DAMAGE RESPONSE%REACTOME DATABASE ID RELEASE 83%69610		47	0.7571796	1.9545835	0.0	5.2676175E-4	0.014	2123	tags=68%, list=16%, signal=81%	
MITOTIC G2-G2 M PHASES%REACTOME%R-HSA-453274.2	MITOTIC G2-G2 M PHASES%REACTOME%R-HSA-453274.2		167	0.6360074	1.9528103	0.0	5.117114E-4	0.014	2044	tags=40%, list=16%, signal=47%	
TNFR2 NON-CANONICAL NF-KB PATHWAY%REACTOME%R-HSA-5668541.3	TNFR2 NON-CANONICAL NF-KB PATHWAY%REACTOME%R-HSA-5668541.3		65	0.7212006	1.9509587	0.0	6.0626894E-4	0.017	1897	tags=57%, list=15%, signal=66%	
ER-PHAGOSOME PATHWAY%REACTOME%R-HSA-1236974.4	ER-PHAGOSOME PATHWAY%REACTOME%R-HSA-1236974.4		70	0.72424656	1.9509029	0.0	5.8988325E-4	0.017	2297	tags=53%, list=18%, signal=64%	
DEGRADATION OF BETA-CATENIN BY THE DESTRUCTION COMPLEX%REACTOME DATABASE ID RELEASE 83%195253	DEGRADATION OF BETA-CATENIN BY THE DESTRUCTION COMPLEX%REACTOME DATABASE ID RELEASE 83%195253		76	0.7072242	1.9506505	0.0	5.7436E-4	0.017	2123	tags=53%, list=16%, signal=63%	
RESPONSE TO INTERLEUKIN-1%GOBP%GO:0070555	RESPONSE TO INTERLEUKIN-1%GOBP%GO:0070555		47	0.7523642	1.9504521	0.0	5.5963284E-4	0.017	922	tags=26%, list=7%, signal=27%	
CYCLIN E ASSOCIATED EVENTS DURING G1 S TRANSITION%REACTOME DATABASE ID RELEASE 83%69202	CYCLIN E ASSOCIATED EVENTS DURING G1 S TRANSITION%REACTOME DATABASE ID RELEASE 83%69202		77	0.69973636	1.9494816	0.0	6.0807227E-4	0.019	1887	tags=48%, list=15%, signal=56%	
UBIQUITIN-DEPENDENT DEGRADATION OF CYCLIN D%REACTOME DATABASE ID RELEASE 83%75815	UBIQUITIN-DEPENDENT DEGRADATION OF CYCLIN D%REACTOME DATABASE ID RELEASE 83%75815		48	0.7533825	1.9494125	0.0	5.9324125E-4	0.019	2123	tags=65%, list=16%, signal=77%	
REGULATION OF ACTIVATED PAK-2P34 BY PROTEASOME MEDIATED DEGRADATION%REACTOME DATABASE ID RELEASE 83%211733	REGULATION OF ACTIVATED PAK-2P34 BY PROTEASOME MEDIATED DEGRADATION%REACTOME DATABASE ID RELEASE 83%211733		46	0.76712656	1.9453424	0.0	6.09585E-4	0.02	2123	tags=70%, list=16%, signal=83%	
P53-INDEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME DATABASE ID RELEASE 83%69613	P53-INDEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME DATABASE ID RELEASE 83%69613		47	0.7571796	1.9437178	0.0	6.248881E-4	0.021	2123	tags=68%, list=16%, signal=81%	
DEFECTIVE CFTR CAUSES CYSTIC FIBROSIS%REACTOME DATABASE ID RELEASE 83%5678895	DEFECTIVE CFTR CAUSES CYSTIC FIBROSIS%REACTOME DATABASE ID RELEASE 83%5678895		55	0.73345655	1.9425207	0.0	6.692099E-4	0.023	2123	tags=58%, list=16%, signal=69%	
REGULATION OF APOPTOSIS%REACTOME DATABASE ID RELEASE 83%169911	REGULATION OF APOPTOSIS%REACTOME DATABASE ID RELEASE 83%169911		48	0.75830364	1.941794	0.0	6.543386E-4	0.023	2123	tags=67%, list=16%, signal=79%	
DIRECT P53 EFFECTORS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%DIRECT P53 EFFECTORS	DIRECT P53 EFFECTORS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%DIRECT P53 EFFECTORS		105	0.6727031	1.93976	0.0	6.682435E-4	0.024	1324	tags=29%, list=10%, signal=32%	
VIF-MEDIATED DEGRADATION OF APOBEC3G%REACTOME%R-HSA-180585.1	VIF-MEDIATED DEGRADATION OF APOBEC3G%REACTOME%R-HSA-180585.1		47	0.76017517	1.9394218	0.0	6.540256E-4	0.024	2123	tags=68%, list=16%, signal=81%	
GSK3B AND BTRC:CUL1-MEDIATED-DEGRADATION OF NFE2L2%REACTOME%R-HSA-9762114.1	GSK3B AND BTRC:CUL1-MEDIATED-DEGRADATION OF NFE2L2%REACTOME%R-HSA-9762114.1		50	0.76047915	1.9376203	0.0	6.927542E-4	0.026	1829	tags=62%, list=14%, signal=72%	
EPH-EPHRIN SIGNALING%REACTOME%R-HSA-2682334.1	EPH-EPHRIN SIGNALING%REACTOME%R-HSA-2682334.1		71	0.71262884	1.9336977	0.0	8.3442486E-4	0.032	1345	tags=38%, list=10%, signal=42%	
REGULATION OF ACTIN DYNAMICS FOR PHAGOCYTIC CUP FORMATION%REACTOME DATABASE ID RELEASE 83%2029482	REGULATION OF ACTIN DYNAMICS FOR PHAGOCYTIC CUP FORMATION%REACTOME DATABASE ID RELEASE 83%2029482		47	0.7570945	1.9322661	0.0	8.6798676E-4	0.034	1020	tags=32%, list=8%, signal=35%	
ACTIN FILAMENT BUNDLE ORGANIZATION%GOBP%GO:0061572	ACTIN FILAMENT BUNDLE ORGANIZATION%GOBP%GO:0061572		38	0.77269286	1.9295607	0.0	8.760591E-4	0.035	1177	tags=39%, list=9%, signal=43%	
INTERLEUKIN-1 SIGNALING%REACTOME%R-HSA-9020702.2	INTERLEUKIN-1 SIGNALING%REACTOME%R-HSA-9020702.2		91	0.670791	1.9270502	0.0	8.834794E-4	0.036	1897	tags=46%, list=15%, signal=54%	
REGULATION OF RUNX3 EXPRESSION AND ACTIVITY%REACTOME%R-HSA-8941858.1	REGULATION OF RUNX3 EXPRESSION AND ACTIVITY%REACTOME%R-HSA-8941858.1		50	0.74786013	1.9246829	0.0	8.6681E-4	0.036	1829	tags=60%, list=14%, signal=70%	
G2 M CHECKPOINTS%REACTOME%R-HSA-69481.3	G2 M CHECKPOINTS%REACTOME%R-HSA-69481.3		117	0.6599601	1.9238346	0.0	8.748219E-4	0.037	2346	tags=52%, list=18%, signal=63%	
TRANSCRIPTIONAL REGULATION BY RUNX3%REACTOME%R-HSA-8878159.2	TRANSCRIPTIONAL REGULATION BY RUNX3%REACTOME%R-HSA-8878159.2		87	0.69104457	1.923652	0.0	8.589161E-4	0.037	1829	tags=47%, list=14%, signal=55%	
CYCLIN A:CDK2-ASSOCIATED EVENTS AT S PHASE ENTRY%REACTOME%R-HSA-69656.3	CYCLIN A:CDK2-ASSOCIATED EVENTS AT S PHASE ENTRY%REACTOME%R-HSA-69656.3		78	0.69512165	1.9231453	0.0	9.1249996E-4	0.04	1887	tags=47%, list=15%, signal=55%	
HUNTINGTON DISEASE%PANTHER PATHWAY%P00029	HUNTINGTON DISEASE%PANTHER PATHWAY%P00029		68	0.69984835	1.9173353	0.0	0.0010973747	0.049	1203	tags=28%, list=9%, signal=31%	
SCF(SKP2)-MEDIATED DEGRADATION OF P27 P21%REACTOME DATABASE ID RELEASE 83%187577	SCF(SKP2)-MEDIATED DEGRADATION OF P27 P21%REACTOME DATABASE ID RELEASE 83%187577		56	0.7291299	1.9163239	0.0	0.0011442859	0.052	1829	tags=55%, list=14%, signal=64%	
SIGNALING BY NOTCH4%REACTOME DATABASE ID RELEASE 83%9013694	SIGNALING BY NOTCH4%REACTOME DATABASE ID RELEASE 83%9013694		73	0.70226455	1.9142158	0.0	0.0011248911	0.052	1829	tags=51%, list=14%, signal=59%	
ACTIN FILAMENT BUNDLE ASSEMBLY%GOBP%GO:0051017	ACTIN FILAMENT BUNDLE ASSEMBLY%GOBP%GO:0051017		38	0.77269286	1.9112803	0.0	0.0011915528	0.056	1177	tags=39%, list=9%, signal=43%	
SYNDECAN-4-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SYNDECAN-4-MEDIATED SIGNALING EVENTS	SYNDECAN-4-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SYNDECAN-4-MEDIATED SIGNALING EVENTS		24	0.8353261	1.9083798	0.0	0.0013399951	0.064	927	tags=46%, list=7%, signal=49%	
REGULATION OF LEUKOCYTE MIGRATION%GOBP%GO:0002685	REGULATION OF LEUKOCYTE MIGRATION%GOBP%GO:0002685		83	0.67757624	1.9082876	0.0	0.0013183823	0.064	962	tags=28%, list=7%, signal=30%	
RUNX1 REGULATES TRANSCRIPTION OF GENES INVOLVED IN DIFFERENTIATION OF HSCS%REACTOME%R-HSA-8939236.1	RUNX1 REGULATES TRANSCRIPTION OF GENES INVOLVED IN DIFFERENTIATION OF HSCS%REACTOME%R-HSA-8939236.1		59	0.70582414	1.908126	0.0	0.0012974556	0.064	1897	tags=56%, list=15%, signal=65%	
RHO GTPASES ACTIVATE PKNS%REACTOME%R-HSA-5625740.1	RHO GTPASES ACTIVATE PKNS%REACTOME%R-HSA-5625740.1		27	0.8158831	1.8958634	0.0	0.001996912	0.095	853	tags=44%, list=7%, signal=47%	
PATHOGENIC ESCHERICHIA COLI INFECTION%WIKIPATHWAYS_20220510%WP2272%HOMO SAPIENS	PATHOGENIC ESCHERICHIA COLI INFECTION%WIKIPATHWAYS_20220510%WP2272%HOMO SAPIENS		33	0.78984565	1.891901	0.0	0.0023205017	0.108	1394	tags=55%, list=11%, signal=61%	
REGULATION OF RHO PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0035023	REGULATION OF RHO PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0035023		45	0.7468172	1.8881185	0.0	0.0024411248	0.114	810	tags=33%, list=6%, signal=35%	
BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS		49	0.74119353	1.8868233	0.0	0.0025000658	0.119	721	tags=35%, list=6%, signal=37%	
HEDGEHOG 'ON' STATE%REACTOME%R-HSA-5632684.1	HEDGEHOG 'ON' STATE%REACTOME%R-HSA-5632684.1		72	0.68963987	1.8857105	0.0	0.0025393483	0.121	2292	tags=50%, list=18%, signal=60%	
INFLAMMATION MEDIATED BY CHEMOKINE AND CYTOKINE SIGNALING PATHWAY%PANTHER PATHWAY%P00031	INFLAMMATION MEDIATED BY CHEMOKINE AND CYTOKINE SIGNALING PATHWAY%PANTHER PATHWAY%P00031		105	0.64423543	1.8855877	0.0	0.0025208967	0.122	1004	tags=29%, list=8%, signal=31%	
REGULATION OF RESPONSE TO WOUNDING%GOBP%GO:1903034	REGULATION OF RESPONSE TO WOUNDING%GOBP%GO:1903034		69	0.68586314	1.8817616	0.0	0.0027408425	0.134	455	tags=29%, list=4%, signal=30%	
REGULATION OF ACTOMYOSIN STRUCTURE ORGANIZATION%GOBP%GO:0110020	REGULATION OF ACTOMYOSIN STRUCTURE ORGANIZATION%GOBP%GO:0110020		61	0.6999855	1.8817071	0.0	0.002702239	0.134	1000	tags=30%, list=8%, signal=32%	
ERBB1 DOWNSTREAM SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ERBB1 DOWNSTREAM SIGNALING	ERBB1 DOWNSTREAM SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ERBB1 DOWNSTREAM SIGNALING		93	0.6691939	1.8801521	0.0	0.0027356374	0.138	1596	tags=37%, list=12%, signal=41%	
DEGRADATION OF AXIN%REACTOME%R-HSA-4641257.2	DEGRADATION OF AXIN%REACTOME%R-HSA-4641257.2		51	0.71402514	1.8801205	0.0	0.0026981626	0.138	2123	tags=63%, list=16%, signal=75%	
REGULATION OF MONONUCLEAR CELL MIGRATION%GOBP%GO:0071675	REGULATION OF MONONUCLEAR CELL MIGRATION%GOBP%GO:0071675		53	0.7156408	1.879496	0.0	0.0027472258	0.142	1116	tags=34%, list=9%, signal=37%	
FORMATION OF TUBULIN FOLDING INTERMEDIATES BY CCT TRIC%REACTOME DATABASE ID RELEASE 83%389960	FORMATION OF TUBULIN FOLDING INTERMEDIATES BY CCT TRIC%REACTOME DATABASE ID RELEASE 83%389960		20	0.85652715	1.8791072	0.0	0.0027279756	0.143	1038	tags=60%, list=8%, signal=65%	
DOWNSTREAM SIGNALING EVENTS OF B CELL RECEPTOR (BCR)%REACTOME DATABASE ID RELEASE 83%1168372	DOWNSTREAM SIGNALING EVENTS OF B CELL RECEPTOR (BCR)%REACTOME DATABASE ID RELEASE 83%1168372		72	0.69027364	1.8769947	0.0	0.0027592545	0.147	1897	tags=51%, list=15%, signal=60%	
ORC1 REMOVAL FROM CHROMATIN%REACTOME DATABASE ID RELEASE 83%68949	ORC1 REMOVAL FROM CHROMATIN%REACTOME DATABASE ID RELEASE 83%68949		65	0.69734395	1.8763022	0.0	0.0028231433	0.151	2346	tags=60%, list=18%, signal=73%	
REGULATION OF PROTEIN MATURATION%GOBP%GO:1903317	REGULATION OF PROTEIN MATURATION%GOBP%GO:1903317		26	0.82742506	1.8747535	0.0	0.0029177757	0.158	647	tags=38%, list=5%, signal=40%	
REGULATION OF PROTEIN PROCESSING%GOBP%GO:0070613	REGULATION OF PROTEIN PROCESSING%GOBP%GO:0070613		25	0.81750035	1.8739933	0.0	0.0029451274	0.162	647	tags=36%, list=5%, signal=38%	
REGULATION OF STRESS FIBER ASSEMBLY%GOBP%GO:0051492	REGULATION OF STRESS FIBER ASSEMBLY%GOBP%GO:0051492		57	0.69466525	1.8738211	0.0	0.0029242125	0.163	1000	tags=30%, list=8%, signal=32%	
G1 S DNA DAMAGE CHECKPOINTS%REACTOME DATABASE ID RELEASE 83%69615	G1 S DNA DAMAGE CHECKPOINTS%REACTOME DATABASE ID RELEASE 83%69615		59	0.69201624	1.8713987	0.0	0.003014169	0.171	2496	tags=69%, list=19%, signal=86%	
COOPERATION OF PREFOLDIN AND TRIC CCT IN ACTIN AND TUBULIN FOLDING%REACTOME DATABASE ID RELEASE 83%389958	COOPERATION OF PREFOLDIN AND TRIC CCT IN ACTIN AND TUBULIN FOLDING%REACTOME DATABASE ID RELEASE 83%389958		27	0.79922974	1.8706301	0.0	0.003024328	0.174	1038	tags=56%, list=8%, signal=60%	
REGULATION OF WOUND HEALING%GOBP%GO:0061041	REGULATION OF WOUND HEALING%GOBP%GO:0061041		59	0.70662683	1.8675461	0.0	0.0032040235	0.185	455	tags=32%, list=4%, signal=33%	
G1 S TRANSITION%REACTOME DATABASE ID RELEASE 83%69206	G1 S TRANSITION%REACTOME DATABASE ID RELEASE 83%69206		119	0.6327464	1.8667953	0.0	0.003257488	0.191	2496	tags=48%, list=19%, signal=59%	
HALLMARK_APICAL_JUNCTION%MSIGDBHALLMARK%HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION%MSIGDBHALLMARK%HALLMARK_APICAL_JUNCTION		95	0.6536883	1.8611369	0.0	0.003807233	0.225	1602	tags=32%, list=12%, signal=36%	
CDK-MEDIATED PHOSPHORYLATION AND REMOVAL OF CDC6%REACTOME%R-HSA-69017.2	CDK-MEDIATED PHOSPHORYLATION AND REMOVAL OF CDC6%REACTOME%R-HSA-69017.2		64	0.68409073	1.8595642	0.0	0.0039266013	0.232	1897	tags=52%, list=15%, signal=60%	
PROTEASOME DEGRADATION%WIKIPATHWAYS_20220510%WP183%HOMO SAPIENS	PROTEASOME DEGRADATION%WIKIPATHWAYS_20220510%WP183%HOMO SAPIENS		35	0.77700055	1.8594698	0.0	0.0038814682	0.232	2264	tags=63%, list=18%, signal=76%	
EPHB-MEDIATED FORWARD SIGNALING%REACTOME%R-HSA-3928662.2	EPHB-MEDIATED FORWARD SIGNALING%REACTOME%R-HSA-3928662.2		29	0.79371566	1.8564827	0.0	0.0041416283	0.247	1000	tags=52%, list=8%, signal=56%	
POSITIVE REGULATION OF RESPONSE TO WOUNDING%GOBP%GO:1903036	POSITIVE REGULATION OF RESPONSE TO WOUNDING%GOBP%GO:1903036		27	0.7978557	1.8546109	0.0	0.0042806277	0.26	455	tags=48%, list=4%, signal=50%	
CHAPERONIN-MEDIATED PROTEIN FOLDING%REACTOME DATABASE ID RELEASE 83%390466	CHAPERONIN-MEDIATED PROTEIN FOLDING%REACTOME DATABASE ID RELEASE 83%390466		72	0.66975385	1.8504145	0.0	0.0047430987	0.285	1167	tags=32%, list=9%, signal=35%	
REGULATION OF MRNA STABILITY BY PROTEINS THAT BIND AU-RICH ELEMENTS%REACTOME DATABASE ID RELEASE 83%450531	REGULATION OF MRNA STABILITY BY PROTEINS THAT BIND AU-RICH ELEMENTS%REACTOME DATABASE ID RELEASE 83%450531		78	0.66297054	1.8503146	0.0	0.0047191987	0.286	2264	tags=55%, list=18%, signal=66%	
PLATELET AGGREGATION%GOBP%GO:0070527	PLATELET AGGREGATION%GOBP%GO:0070527		25	0.79343945	1.848137	0.0	0.0048206993	0.294	1642	tags=56%, list=13%, signal=64%	
CELLULAR RESPONSE TO INTERLEUKIN-1%GOBP%GO:0071347	CELLULAR RESPONSE TO INTERLEUKIN-1%GOBP%GO:0071347		37	0.75227064	1.8456289	0.0	0.005111179	0.312	1208	tags=30%, list=9%, signal=33%	
