NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934	PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934		79	-0.66455215	-1.935088	0.0	6.585579E-4	0.022	2526	tags=63%, list=20%, signal=78%	
PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 83%156902	PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 83%156902		85	-0.65867853	-1.9112778	0.0	0.0016091543	0.056	2526	tags=62%, list=20%, signal=77%	
SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.2	SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.2		87	-0.6445834	-1.8936094	0.0	0.0022588598	0.081	2526	tags=59%, list=20%, signal=72%	
SENSORY PERCEPTION OF CHEMICAL STIMULUS%GOBP%GO:0007606	SENSORY PERCEPTION OF CHEMICAL STIMULUS%GOBP%GO:0007606		23	-0.8070255	-1.8873708	0.0	0.0025426634	0.094	314	tags=13%, list=2%, signal=13%	
CILIUM MOVEMENT%GOBP%GO:0003341	CILIUM MOVEMENT%GOBP%GO:0003341		47	-0.6849123	-1.8444191	0.0	0.0075017638	0.256	3189	tags=64%, list=25%, signal=84%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION		149	-0.56676465	-1.8045701	0.0	0.017126728	0.505	2216	tags=27%, list=17%, signal=32%	
CILIUM OR FLAGELLUM-DEPENDENT CELL MOTILITY%GOBP%GO:0001539	CILIUM OR FLAGELLUM-DEPENDENT CELL MOTILITY%GOBP%GO:0001539		39	-0.69762754	-1.8034184	0.0	0.016966231	0.514	1572	tags=38%, list=12%, signal=44%	
AXONEME ASSEMBLY%GOBP%GO:0035082	AXONEME ASSEMBLY%GOBP%GO:0035082		34	-0.70449686	-1.799623	0.0	0.017774463	0.544	3222	tags=71%, list=25%, signal=94%	
CILIUM-DEPENDENT CELL MOTILITY%GOBP%GO:0060285	CILIUM-DEPENDENT CELL MOTILITY%GOBP%GO:0060285		39	-0.69762754	-1.7970138	0.0020242915	0.018108245	0.561	1572	tags=38%, list=12%, signal=44%	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME DATABASE ID RELEASE 83%72689	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME DATABASE ID RELEASE 83%72689		96	-0.61158895	-1.7934324	0.0	0.018768039	0.584	2526	tags=59%, list=20%, signal=73%	
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4		89	-0.60970825	-1.7924718	0.0	0.018594725	0.596	2526	tags=60%, list=20%, signal=74%	
SARS-COV-1 MODULATES HOST TRANSLATION MACHINERY%REACTOME DATABASE ID RELEASE 83%9735869	SARS-COV-1 MODULATES HOST TRANSLATION MACHINERY%REACTOME DATABASE ID RELEASE 83%9735869		36	-0.71165675	-1.7785611	0.0	0.02389841	0.715	2458	tags=64%, list=19%, signal=79%	
RORA ACTIVATES GENE EXPRESSION%REACTOME DATABASE ID RELEASE 83%1368082	RORA ACTIVATES GENE EXPRESSION%REACTOME DATABASE ID RELEASE 83%1368082		17	-0.8323672	-1.7783725	0.0	0.023293156	0.716	1057	tags=29%, list=8%, signal=32%	
PHOTORECEPTOR CELL MAINTENANCE%GOBP%GO:0045494	PHOTORECEPTOR CELL MAINTENANCE%GOBP%GO:0045494		20	-0.7706126	-1.7654544	0.0	0.02976159	0.805	2083	tags=55%, list=16%, signal=65%	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3		105	-0.5846145	-1.7566602	0.0	0.034163002	0.858	2526	tags=56%, list=20%, signal=69%	
RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME DATABASE ID RELEASE 83%9633012	RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME DATABASE ID RELEASE 83%9633012		96	-0.5905145	-1.7439427	0.0	0.042101398	0.912	2526	tags=55%, list=20%, signal=68%	
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME DATABASE ID RELEASE 83%72706	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME DATABASE ID RELEASE 83%72706		106	-0.5752709	-1.7429606	0.0	0.041709315	0.913	2526	tags=56%, list=20%, signal=69%	
REGULATION OF GLUCONEOGENESIS%GOBP%GO:0006111	REGULATION OF GLUCONEOGENESIS%GOBP%GO:0006111		16	-0.79325974	-1.720256	0.0076481835	0.05973304	0.969	265	tags=13%, list=2%, signal=13%	
CARBOHYDRATE TRANSMEMBRANE TRANSPORT%GOBP%GO:0034219	CARBOHYDRATE TRANSMEMBRANE TRANSPORT%GOBP%GO:0034219		20	-0.75552446	-1.7135011	0.0	0.06517832	0.98	196	tags=20%, list=2%, signal=20%	
HEME SIGNALING%REACTOME DATABASE ID RELEASE 83%9707616	HEME SIGNALING%REACTOME DATABASE ID RELEASE 83%9707616		35	-0.6748103	-1.7030332	0.0021505377	0.07488095	0.991	1057	tags=23%, list=8%, signal=25%	
CARBOHYDRATE TRANSPORT%GOBP%GO:0008643	CARBOHYDRATE TRANSPORT%GOBP%GO:0008643		20	-0.75552446	-1.7006482	0.0	0.07587585	0.992	196	tags=20%, list=2%, signal=20%	
LEUCINE, ISOLEUCINE AND VALINE METABOLISM%WIKIPATHWAYS_20220510%WP4686%HOMO SAPIENS	LEUCINE, ISOLEUCINE AND VALINE METABOLISM%WIKIPATHWAYS_20220510%WP4686%HOMO SAPIENS		15	-0.8073888	-1.6974306	0.002004008	0.07826256	0.995	282	tags=20%, list=2%, signal=20%	
CILIUM MOVEMENT INVOLVED IN CELL MOTILITY%GOBP%GO:0060294	CILIUM MOVEMENT INVOLVED IN CELL MOTILITY%GOBP%GO:0060294		31	-0.68658113	-1.694207	0.0020618557	0.08077962	0.996	3189	tags=65%, list=25%, signal=85%	
GENES RELATED TO PRIMARY CILIUM DEVELOPMENT (BASED ON CRISPR)%WIKIPATHWAYS_20220510%WP4536%HOMO SAPIENS	GENES RELATED TO PRIMARY CILIUM DEVELOPMENT (BASED ON CRISPR)%WIKIPATHWAYS_20220510%WP4536%HOMO SAPIENS		70	-0.59208333	-1.6931863	0.0	0.080235966	0.996	1981	tags=40%, list=15%, signal=47%	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.2	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.2		113	-0.5496692	-1.6916102	0.0	0.08043454	0.996	2526	tags=52%, list=20%, signal=64%	
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 83%975956	NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 83%975956		91	-0.578132	-1.688981	0.0022988506	0.08219448	0.997	2526	tags=56%, list=20%, signal=69%	
SELENOAMINO ACID METABOLISM%REACTOME%R-HSA-2408522.4	SELENOAMINO ACID METABOLISM%REACTOME%R-HSA-2408522.4		96	-0.5707784	-1.6836883	0.0	0.08775847	0.997	2526	tags=54%, list=20%, signal=67%	
EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.3	EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.3		113	-0.5496692	-1.6598666	0.0	0.12138321	1.0	2526	tags=52%, list=20%, signal=64%	
PHOSPHATIDYLSERINE METABOLIC PROCESS%GOBP%GO:0006658	PHOSPHATIDYLSERINE METABOLIC PROCESS%GOBP%GO:0006658		17	-0.7685962	-1.6579068	0.002079002	0.12194487	1.0	804	tags=24%, list=6%, signal=25%	
SISTER CHROMATID COHESION%GOBP%GO:0007062	SISTER CHROMATID COHESION%GOBP%GO:0007062		29	-0.68624854	-1.6496617	0.0063829785	0.1349018	1.0	1468	tags=24%, list=11%, signal=27%	
CELLULAR RESPIRATION%GOBP%GO:0045333	CELLULAR RESPIRATION%GOBP%GO:0045333		110	-0.54081094	-1.6466283	0.0	0.13795176	1.0	2105	tags=25%, list=16%, signal=30%	
POTASSIUM ION TRANSPORT%GOBP%GO:0006813	POTASSIUM ION TRANSPORT%GOBP%GO:0006813		63	-0.5876665	-1.6439376	0.0	0.14090578	1.0	1905	tags=27%, list=15%, signal=31%	
POTASSIUM ION IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:1990573	POTASSIUM ION IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:1990573		18	-0.7494245	-1.6422135	0.00990099	0.14155765	1.0	531	tags=22%, list=4%, signal=23%	
FLAGELLATED SPERM MOTILITY%GOBP%GO:0030317	FLAGELLATED SPERM MOTILITY%GOBP%GO:0030317		28	-0.6811087	-1.6360164	0.00814664	0.1512117	1.0	2926	tags=57%, list=23%, signal=74%	
CILIOPATHIES%WIKIPATHWAYS_20220510%WP4803%HOMO SAPIENS	CILIOPATHIES%WIKIPATHWAYS_20220510%WP4803%HOMO SAPIENS		115	-0.5338698	-1.6323419	0.0	0.15573646	1.0	2156	tags=35%, list=17%, signal=41%	
MONOSACCHARIDE TRANSMEMBRANE TRANSPORT%GOBP%GO:0015749	MONOSACCHARIDE TRANSMEMBRANE TRANSPORT%GOBP%GO:0015749		16	-0.72448444	-1.6307807	0.01010101	0.15621583	1.0	196	tags=19%, list=2%, signal=19%	
ION TRANSPORT BY P-TYPE ATPASES%REACTOME%R-HSA-936837.4	ION TRANSPORT BY P-TYPE ATPASES%REACTOME%R-HSA-936837.4		36	-0.64572835	-1.6278322	0.004210526	0.15924747	1.0	1210	tags=33%, list=9%, signal=37%	
SPERM MOTILITY%GOBP%GO:0097722	SPERM MOTILITY%GOBP%GO:0097722		28	-0.6811087	-1.6226022	0.0021231424	0.16744247	1.0	2926	tags=57%, list=23%, signal=74%	
RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904		74	-0.5638319	-1.6170484	0.0	0.17692332	1.0	1101	tags=20%, list=9%, signal=22%	
PROPANOATE METABOLISM%SMPDB%SMP0000016	PROPANOATE METABOLISM%SMPDB%SMP0000016		17	-0.7331738	-1.6160446	0.009881423	0.17615551	1.0	576	tags=24%, list=4%, signal=25%	
POLYOL METABOLIC PROCESS%GOBP%GO:0019751	POLYOL METABOLIC PROCESS%GOBP%GO:0019751		51	-0.60615546	-1.6130615	0.0042735045	0.18002342	1.0	1767	tags=25%, list=14%, signal=29%	
MOTILE CILIUM ASSEMBLY%GOBP%GO:0044458	MOTILE CILIUM ASSEMBLY%GOBP%GO:0044458		25	-0.6926601	-1.6130264	0.012219959	0.17727523	1.0	3189	tags=72%, list=25%, signal=95%	
ORGAN GROWTH%GOBP%GO:0035265	ORGAN GROWTH%GOBP%GO:0035265		19	-0.71852225	-1.612028	0.0074766357	0.17686826	1.0	1106	tags=42%, list=9%, signal=46%	
REGULATION OF FATTY ACID OXIDATION%GOBP%GO:0046320	REGULATION OF FATTY ACID OXIDATION%GOBP%GO:0046320		20	-0.7165963	-1.6096851	0.011538462	0.17916016	1.0	347	tags=20%, list=3%, signal=21%	
PROTEIN AUTOPHOSPHORYLATION%GOBP%GO:0046777	PROTEIN AUTOPHOSPHORYLATION%GOBP%GO:0046777		117	-0.5229992	-1.6095527	0.0	0.17676364	1.0	1540	tags=17%, list=12%, signal=19%	
SUMOYLATION OF INTRACELLULAR RECEPTORS%REACTOME DATABASE ID RELEASE 83%4090294	SUMOYLATION OF INTRACELLULAR RECEPTORS%REACTOME DATABASE ID RELEASE 83%4090294		16	-0.7631521	-1.6087786	0.011811024	0.17578134	1.0	1737	tags=44%, list=13%, signal=50%	
ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900	ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900		78	-0.5597674	-1.6085925	0.0	0.17354336	1.0	1101	tags=19%, list=9%, signal=21%	
DETECTION OF LIGHT STIMULUS%GOBP%GO:0009583	DETECTION OF LIGHT STIMULUS%GOBP%GO:0009583		15	-0.77574724	-1.6066581	0.00407332	0.17528568	1.0	1056	tags=33%, list=8%, signal=36%	
REGULATION OF SMOOTHENED SIGNALING PATHWAY%GOBP%GO:0008589	REGULATION OF SMOOTHENED SIGNALING PATHWAY%GOBP%GO:0008589		41	-0.6155398	-1.605922	0.008658009	0.17435828	1.0	2024	tags=32%, list=16%, signal=37%	
THE ONCOGENIC ACTION OF L-2-HYDROXYGLUTARATE IN HYDROXYGLUTARIC ACIDURIA%PATHWHIZ%PW002451	THE ONCOGENIC ACTION OF L-2-HYDROXYGLUTARATE IN HYDROXYGLUTARIC ACIDURIA%PATHWHIZ%PW002451		25	-0.6820565	-1.6022038	0.010351967	0.17976555	1.0	1775	tags=28%, list=14%, signal=32%	
MALONYL-COA DECARBOXYLASE DEFICIENCY%PATHWHIZ%PW000478	MALONYL-COA DECARBOXYLASE DEFICIENCY%PATHWHIZ%PW000478		17	-0.7331738	-1.6009208	0.008179959	0.17998601	1.0	576	tags=24%, list=4%, signal=25%	
CELLULAR RESPONSE TO STARVATION%REACTOME DATABASE ID RELEASE 83%9711097	CELLULAR RESPONSE TO STARVATION%REACTOME DATABASE ID RELEASE 83%9711097		139	-0.5131235	-1.598089	0.0	0.18380971	1.0	2599	tags=43%, list=20%, signal=53%	
ENERGY DERIVATION BY OXIDATION OF ORGANIC COMPOUNDS%GOBP%GO:0015980	ENERGY DERIVATION BY OXIDATION OF ORGANIC COMPOUNDS%GOBP%GO:0015980		132	-0.5116781	-1.596936	0.0046838406	0.18373519	1.0	2105	tags=23%, list=16%, signal=28%	
POTASSIUM ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0071805	POTASSIUM ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0071805		56	-0.573623	-1.5962999	0.004310345	0.18271534	1.0	1582	tags=23%, list=12%, signal=26%	
TELENCEPHALON CELL MIGRATION%GOBP%GO:0022029	TELENCEPHALON CELL MIGRATION%GOBP%GO:0022029		18	-0.72398466	-1.5945228	0.016632017	0.18433136	1.0	1396	tags=28%, list=11%, signal=31%	
THE ONCOGENIC ACTION OF SUCCINATE%PATHWHIZ%PW002360	THE ONCOGENIC ACTION OF SUCCINATE%PATHWHIZ%PW002360		24	-0.68039083	-1.5922339	0.016528925	0.1868447	1.0	1775	tags=29%, list=14%, signal=34%	
THE ONCOGENIC ACTION OF D-2-HYDROXYGLUTARATE IN HYDROXYGLUTARIC ACIDURIA%SMPDB%SMP0002359	THE ONCOGENIC ACTION OF D-2-HYDROXYGLUTARATE IN HYDROXYGLUTARIC ACIDURIA%SMPDB%SMP0002359		25	-0.6820565	-1.5908235	0.020833334	0.18775456	1.0	1775	tags=28%, list=14%, signal=32%	
BRANCHED-CHAIN AMINO ACID CATABOLISM%REACTOME%R-HSA-70895.4	BRANCHED-CHAIN AMINO ACID CATABOLISM%REACTOME%R-HSA-70895.4		21	-0.70097625	-1.5882459	0.010373444	0.19103794	1.0	541	tags=19%, list=4%, signal=20%	
METHYLMALONIC ACIDURIA DUE TO COBALAMIN-RELATED DISORDERS%PATHWHIZ%PW000208	METHYLMALONIC ACIDURIA DUE TO COBALAMIN-RELATED DISORDERS%PATHWHIZ%PW000208		17	-0.7331738	-1.584569	0.01984127	0.19712558	1.0	576	tags=24%, list=4%, signal=25%	
REGULATION OF INTRACELLULAR PH%GOBP%GO:0051453	REGULATION OF INTRACELLULAR PH%GOBP%GO:0051453		52	-0.5750992	-1.583062	0.014989293	0.19827811	1.0	839	tags=17%, list=6%, signal=18%	
BRANCHED-CHAIN AMINO ACID CATABOLIC PROCESS%GOBP%GO:0009083	BRANCHED-CHAIN AMINO ACID CATABOLIC PROCESS%GOBP%GO:0009083		18	-0.71192735	-1.58108	0.024948025	0.20058739	1.0	282	tags=17%, list=2%, signal=17%	
REGULATION OF PLATELET AGGREGATION%GOBP%GO:0090330	REGULATION OF PLATELET AGGREGATION%GOBP%GO:0090330		15	-0.74936515	-1.5799443	0.014613778	0.2008684	1.0	255	tags=27%, list=2%, signal=27%	
PIGMENT CELL DIFFERENTIATION%GOBP%GO:0050931	PIGMENT CELL DIFFERENTIATION%GOBP%GO:0050931		17	-0.7454383	-1.5792576	0.014736842	0.20002612	1.0	831	tags=29%, list=6%, signal=31%	
THE ONCOGENIC ACTION OF FUMARATE%PATHWHIZ%PW002363	THE ONCOGENIC ACTION OF FUMARATE%PATHWHIZ%PW002363		24	-0.68039083	-1.5790799	0.0045045046	0.19807512	1.0	1775	tags=29%, list=14%, signal=34%	
FOREBRAIN CELL MIGRATION%GOBP%GO:0021885	FOREBRAIN CELL MIGRATION%GOBP%GO:0021885		19	-0.7190786	-1.5728551	0.0084566595	0.21078523	1.0	1396	tags=26%, list=11%, signal=29%	
TRANSCRIPTIONAL ACTIVATION OF MITOCHONDRIAL BIOGENESIS%REACTOME DATABASE ID RELEASE 83%2151201	TRANSCRIPTIONAL ACTIVATION OF MITOCHONDRIAL BIOGENESIS%REACTOME DATABASE ID RELEASE 83%2151201		45	-0.5892012	-1.5723988	0.018	0.20931965	1.0	1191	tags=20%, list=9%, signal=22%	
THE ONCOGENIC ACTION OF 2-HYDROXYGLUTARATE%SMPDB%SMP0002291	THE ONCOGENIC ACTION OF 2-HYDROXYGLUTARATE%SMPDB%SMP0002291		23	-0.6842544	-1.5660375	0.006741573	0.22227746	1.0	1775	tags=30%, list=14%, signal=35%	
IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0098739	IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0098739		80	-0.53299326	-1.5656725	0.0021008404	0.22064723	1.0	531	tags=15%, list=4%, signal=16%	
CILIUM ASSEMBLY%GOBP%GO:0060271	CILIUM ASSEMBLY%GOBP%GO:0060271		194	-0.4800751	-1.5604466	0.0	0.23117019	1.0	2165	tags=31%, list=17%, signal=37%	
SELECTIVE AUTOPHAGY%GOBP%GO:0061912	SELECTIVE AUTOPHAGY%GOBP%GO:0061912		44	-0.5916415	-1.5595043	0.008528785	0.23127447	1.0	1739	tags=23%, list=13%, signal=26%	
INORGANIC CATION IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0098659	INORGANIC CATION IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0098659		45	-0.5792956	-1.557894	0.017167382	0.23267865	1.0	1839	tags=27%, list=14%, signal=31%	
REGULATION OF CELLULAR PH%GOBP%GO:0030641	REGULATION OF CELLULAR PH%GOBP%GO:0030641		53	-0.56161445	-1.5570023	0.0022075055	0.23226997	1.0	839	tags=17%, list=6%, signal=18%	
MALONIC ACIDURIA%SMPDB%SMP0000198	MALONIC ACIDURIA%SMPDB%SMP0000198		17	-0.7331738	-1.5497062	0.018907564	0.24872042	1.0	576	tags=24%, list=4%, signal=25%	
REGULATION OF TELOMERE CAPPING%GOBP%GO:1904353	REGULATION OF TELOMERE CAPPING%GOBP%GO:1904353		22	-0.6825849	-1.5495863	0.01724138	0.24649546	1.0	1133	tags=23%, list=9%, signal=25%	
REGULATION OF PLATELET ACTIVATION%GOBP%GO:0010543	REGULATION OF PLATELET ACTIVATION%GOBP%GO:0010543		24	-0.66096133	-1.5449393	0.0040983604	0.25610685	1.0	868	tags=25%, list=7%, signal=27%	
SPECIFICATION OF SYMMETRY%GOBP%GO:0009799	SPECIFICATION OF SYMMETRY%GOBP%GO:0009799		38	-0.60322607	-1.5435218	0.01039501	0.25730675	1.0	2983	tags=39%, list=23%, signal=51%	
RIBOSOMAL SCANNING AND START CODON RECOGNITION%REACTOME%R-HSA-72702.3	RIBOSOMAL SCANNING AND START CODON RECOGNITION%REACTOME%R-HSA-72702.3		56	-0.56003004	-1.5425547	0.008658009	0.25746667	1.0	2458	tags=54%, list=19%, signal=66%	
DETERMINATION OF LEFT/RIGHT SYMMETRY%GOBP%GO:0007368	DETERMINATION OF LEFT/RIGHT SYMMETRY%GOBP%GO:0007368		36	-0.61541	-1.5410924	0.012958963	0.25866178	1.0	2983	tags=42%, list=23%, signal=54%	
DETERMINATION OF BILATERAL SYMMETRY%GOBP%GO:0009855	DETERMINATION OF BILATERAL SYMMETRY%GOBP%GO:0009855		37	-0.60410774	-1.5410676	0.019189766	0.25613493	1.0	2983	tags=41%, list=23%, signal=53%	
ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME%R-HSA-72662.3	ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME%R-HSA-72662.3		57	-0.5548909	-1.5365052	0.0066815144	0.26630944	1.0	2458	tags=53%, list=19%, signal=65%	
REGULATION OF MORPHOGENESIS OF A BRANCHING STRUCTURE%GOBP%GO:0060688	REGULATION OF MORPHOGENESIS OF A BRANCHING STRUCTURE%GOBP%GO:0060688		16	-0.7135811	-1.5341667	0.035928145	0.27054837	1.0	818	tags=25%, list=6%, signal=27%	
TRANSLATION INITIATION COMPLEX FORMATION%REACTOME DATABASE ID RELEASE 83%72649	TRANSLATION INITIATION COMPLEX FORMATION%REACTOME DATABASE ID RELEASE 83%72649		56	-0.5601863	-1.532816	0.008988764	0.27172476	1.0	2458	tags=54%, list=19%, signal=66%	
